source,retriever,top_k,chunk,Accuracy+
None,None,None,None,?
https://github.com/akantuni/Kattis,Salesforce/codet5-base,1,500,?
https://github.com/akantuni/Kattis,Salesforce/codet5-base,1,1000,?
https://github.com/akantuni/Kattis,Salesforce/codet5-base,2,500,?
https://github.com/akantuni/Kattis,Salesforce/codet5-base,2,1000,?
https://github.com/akantuni/Kattis,Salesforce/codet5-base,3,500,?
https://github.com/akantuni/Kattis,Salesforce/codet5-base,3,1000,?
https://github.com/akantuni/Kattis,Salesforce/codet5-base,4,500,?
https://github.com/akantuni/Kattis,Salesforce/codet5-base,4,1000,?
https://github.com/akantuni/Kattis,microsoft/codebert-base,1,500,?
https://github.com/akantuni/Kattis,microsoft/codebert-base,1,1000,?
https://github.com/akantuni/Kattis,microsoft/codebert-base,2,500,?
https://github.com/akantuni/Kattis,microsoft/codebert-base,2,1000,?
https://github.com/akantuni/Kattis,microsoft/codebert-base,3,500,?
https://github.com/akantuni/Kattis,microsoft/codebert-base,3,1000,?
https://github.com/akantuni/Kattis,microsoft/codebert-base,4,500,?
https://github.com/akantuni/Kattis,microsoft/codebert-base,4,1000,?
https://github.com/akantuni/Kattis,microsoft/unixcoder-base,1,500,?
https://github.com/akantuni/Kattis,microsoft/unixcoder-base,1,1000,?
https://github.com/akantuni/Kattis,microsoft/unixcoder-base,2,500,?
https://github.com/akantuni/Kattis,microsoft/unixcoder-base,2,1000,?
https://github.com/akantuni/Kattis,microsoft/unixcoder-base,3,500,?
https://github.com/akantuni/Kattis,microsoft/unixcoder-base,3,1000,?
https://github.com/akantuni/Kattis,microsoft/unixcoder-base,4,500,?
https://github.com/akantuni/Kattis,microsoft/unixcoder-base,4,1000,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,Salesforce/codet5-base,1,500,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,Salesforce/codet5-base,1,1000,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,Salesforce/codet5-base,2,500,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,Salesforce/codet5-base,2,1000,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,Salesforce/codet5-base,3,500,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,Salesforce/codet5-base,3,1000,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,Salesforce/codet5-base,4,500,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,Salesforce/codet5-base,4,1000,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/codebert-base,1,500,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/codebert-base,1,1000,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/codebert-base,2,500,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/codebert-base,2,1000,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/codebert-base,3,500,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/codebert-base,3,1000,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/codebert-base,4,500,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/codebert-base,4,1000,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/unixcoder-base,1,500,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/unixcoder-base,1,1000,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/unixcoder-base,2,500,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/unixcoder-base,2,1000,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/unixcoder-base,3,500,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/unixcoder-base,3,1000,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/unixcoder-base,4,500,?
https://github.com/haoel/leetcode/tree/master/algorithms/python,microsoft/unixcoder-base,4,1000,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,Salesforce/codet5-base,1,500,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,Salesforce/codet5-base,1,1000,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,Salesforce/codet5-base,2,500,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,Salesforce/codet5-base,2,1000,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,Salesforce/codet5-base,3,500,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,Salesforce/codet5-base,3,1000,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,Salesforce/codet5-base,4,500,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,Salesforce/codet5-base,4,1000,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/codebert-base,1,500,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/codebert-base,1,1000,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/codebert-base,2,500,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/codebert-base,2,1000,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/codebert-base,3,500,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/codebert-base,3,1000,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/codebert-base,4,500,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/codebert-base,4,1000,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/unixcoder-base,1,500,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/unixcoder-base,1,1000,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/unixcoder-base,2,500,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/unixcoder-base,2,1000,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/unixcoder-base,3,500,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/unixcoder-base,3,1000,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/unixcoder-base,4,500,?
https://github.com/nayuki/Project-Euler-solutions/tree/master/python,microsoft/unixcoder-base,4,1000,?
